rehearsal	የቲያትርጥናት ልምምድ
revolving stage	ተሸከርካሪ መድረክ
rhetoric	ንግግርን መሣመር
S	
sarcasm	አሽሙር
satire	ምፀታዊ ትችት
savoire {F}	አተዋወንን  ማወቅ
scene	ትዕይንት
seat	መቀመጫ
sentiment	ራሮት
short play	አጭር ተውኔት
single plot	ነጠላ ሴራ
solioquy	ራስ-ነገር
sound	ድምጽ
sound proof	ድምጽ-ከል
sound effect 	ሰጎላማሽ ድምፅ
sound effect man	ድምፅ ተቆጣጣሪ
spectacle	የመድረክ  ዕይታ
spectator	ተመልካች
spotlight	ተፈንጣቂ ብርሃን
stage business	የመድረክ ክዋኔ
stage fright	የመድረክ  ፍራቻ
stage manager	የመድረክ ተቆጣጣሪ
stage scenery	የመድክ ትዕይንት
stage setting	የመድረክ ታይታ
stage, rostrum	መድረክ 
stagecraft	የመድረክ እንፃ
stunt	አስደናቂ ትርዒት
T	
tempo	ሰልት (የሙዚቃ አጨዋወት)
the three unity	ሠልሰቱ ዋህድ
tight plot	ጥብቅ ሴራ
tragedy	ጭፍግ (ለቲያትር)
U	
unity of action	የድርጊት ዋህድነት
upstage 	ላይ መድረክ
V	
villain	እኩይ ገፀ-ባሕሪይ
W	
wardrobe mistress	አልላሽ
music -ሙዚቃ	
B	
balalaika	በላላይካ
banjo	ባንጆ
bassoon	ባዙን
C	
chello	ቼሎ
choir	ሕብረ-ዝማሬ
chorus	ሕብረ-ዘማርያን
clarinet	ክላርኔት
composer	ሙዚቃ ቀማሪ፤አቀናባሪ
concert	የሙዚቃ ትዕይንት
cornet	ኮርኔት
D	
disk	ሽክላ (የሙዚቃ)
double bass	ድርብ ባዝ
drum	ከበሮ
E	
english horn	ጡርንባ (የእንግሊዝ)
F	
fiddle	የፈረንጅ ማሲንቆ
flute	ዋሽንት
G	
glee club	የሙዚቃ ክበብ
guitar	ጊታር
H	
harmonica	አርሞኒካ
harmony	ለዛ
harp	በገና
hymn, canticle	መዝሙር
I	
intonation	ዝማሬ
J	
jazz	ጃዝ
L	
Lyre	ክራር
mastter of ceremony	አስተዋዋቂ
melody	የሙዝቃ ቃና
minstrel	አዝማሪ
O	
oboe	አቦይ
orchestra	የሙዝቃ ጎድ
P	
phonograph, record player	የሽክላ ማጫወቻ
piccolo	ፒኮሎ
pitch	የድምፅ ቃና
playsongs	የዘፋኖች ጨዋታ
popular	የተወደደ
prima donna {It.}	ዋና እንሰት አቀንቃኝ (በኦፔራ)
R	
recording	የተቀዳ(ሙዚቃ)
refrain	አዝማች
rhythm	ቅላፃ
S	
saxophone	ሳክስፎን
singer	ድምፃዊ
solo	ያለ አጃቢ መዝፋን
sonata	ምሕሌት
song	ዘፋን፤መዝሙር
song of songs	መኀልየ መኀልያት
soul singer	የዘፋን አቀንቃኛ(በጥቁር አሜሪካውያን)
string orchestra	ባለ ክር መሳሪያ ኦርኬስትራ
symphony	ሲምፎኒ
T	
trombone	ትሮምቦን
trumpet	ትራምፔት
tune	ቅኛት
V	
viola	ቪዮላ
violin	ቫዮሊን
FINE ARTS _  ሥነ ጥበብ	
A	
abstract art	ስውር አስተኔ
action painting	ድርጊት አስተኔ
B	
baroque	ባሮክ(ዘመነ)
C	
cartoon	አስቂኛ ሥዕል
chiaroscuro	ብርሃን-ጥላ አስተኔ
cubism	ቅምር አስተኔ
D	
diptych	መንቴ እጥፈት
display	ትርኢት
drawing	ሥዕል
E	
Elizabethan	ኤልሳቤጥ(ዘመን)
Engraving	ፍልፍል
Etching	ምስለ-መዳብ
Exhibition	አሰተርእዮተ-ጥበብ፤ኤግዚቢሽን
Expressionism	ግልጤ
F	
fauvism	አይጠየፌ (ዘመን)
G	
Gothic	ጌጠኛ
gouache	ነጭ አስተኔ
graphic art	ጉልህ ሥዕል
I	
Illustration, sketch	ንድፍ
Illustrator	ነዳፊ
Impasto	ደንዳኔ የዘይት ቅብ
